小区,地区,厅,面积,单位,方向,状态,层,build-year,形式,钱,单位,网址,推荐语
永合馨苑 ,永定门,2室2厅 ,122.8,平米, 南 北 , 简装 , 高楼层(共11层) , 2001年建 , 板塔结合,780,万,https://bj.lianjia.com/ershoufang/101106365296.html,东城区  南北两居  一梯两户
朝阳庵 ,车公庄,3室1厅 ,53,平米, 南 北 , 其他 , 顶层(共4层) , 1958年建 , 板楼,532,万,https://bj.lianjia.com/ershoufang/101106365292.html,车公庄展览路 低总价南北全明三居 满五唯一 诚心出售
北苑家园莲葩园 ,北苑,2室2厅 ,126.33,平米, 西南 , 其他 , 高楼层(共25层) , 2004年建 , 塔楼,549,万,https://bj.lianjia.com/ershoufang/101106365284.html,西南向大两居，满五唯一，高楼层，视野好，无遮挡
阜成路北三街7号院 ,甘家口,2室1厅 ,65.32,平米, 东南 , 精装 , 高楼层(共16层) , 1990年建 , 塔楼,686,万,https://bj.lianjia.com/ershoufang/101106365280.html,东南向 高楼层 视野采光好 电梯直达 带客厅
柳芳北里 ,国展,2室1厅 ,57.68,平米, 南 北 , 精装 , 中楼层(共6层) , 1984年建 , 板楼,440,万,https://bj.lianjia.com/ershoufang/101106365277.html,近东直门，柳芳南北朝向两居室，全天采光8小时
富力丹麦小镇 ,天宫院南,5室2厅 ,361.61,平米, 南 北 , 精装 , 3层 , 2011年建 , 板楼 ,1249,万,https://bj.lianjia.com/ershoufang/101106365269.html,富力丹麦小镇 独栋别墅 花园大 户型方正
新翠景园 ,九棵树(家乐福),2室1厅 ,63.67,平米, 南 , 其他 , 中楼层(共11层) , 2005年建 , 板楼,255,万,https://bj.lianjia.com/ershoufang/101106365265.html,新翠景园 2室1厅 255万
风格派 ,亚运村小营,1室0厅 ,51.29,平米, 南 , 精装 , 低楼层(共19层) , 2011年建 , 板塔结合,385,万,https://bj.lianjia.com/ershoufang/101106365256.html,风格派 1室0厅 385万
万科幸福汇 ,窦店,3室1厅 ,95.14,平米, 南 北 , 精装 , 中楼层(共15层) , 2014年建 , 板楼,232,万,https://bj.lianjia.com/ershoufang/101106365253.html,万科幸福汇 3室1厅 232万
武圣东里 ,劲松,2室1厅 ,54.3,平米, 东 西 , 精装 , 中楼层(共6层) , 1980年建 , 板楼,286,万,https://bj.lianjia.com/ershoufang/101106365217.html,满五年唯一商品房板楼中间层随时签约
马坡花园一区 ,马坡,2室1厅 ,112.1,平米, 南 北 , 其他 , 中楼层(共5层) , 2002年建 , 板楼,430,万,https://bj.lianjia.com/ershoufang/101106365214.html,马坡花园一区 2室1厅 430万
北辰福第二号院 ,常营,2室1厅 ,84.44,平米, 南 北 , 精装 , 高楼层(共16层) , 2008年建 , 板楼,450,万,https://bj.lianjia.com/ershoufang/101106365198.html,南北通透两居室，精装修，正对花园
天时名苑 ,通州北苑,2室2厅 ,100.65,平米, 东南 , 其他 , 高楼层(共28层) , 2009年建 , 板塔结合,515,万,https://bj.lianjia.com/ershoufang/101106365192.html,天时名苑 2室2厅 515万
南开西里 ,看丹桥,2室1厅 ,53.32,平米, 南 北 , 精装 , 顶层(共6层) , 1992年建 , 板楼,237,万,https://bj.lianjia.com/ershoufang/101106365190.html,南北通透两居室 精装修 净首付91万
南竹杆胡同 ,朝阳门内,1室1厅 ,57.86,平米, 南 北 , 其他 , 中楼层(共16层) , 2003年建 , 板塔结合,690,万,https://bj.lianjia.com/ershoufang/101106365188.html,南竹杆胡同 1室1厅 690万
远洋一方溪语苑 ,双桥,3室1厅 ,89.47,平米, 南 北 , 其他 , 低楼层(共6层) , 2012年建 , 板楼,510,万,https://bj.lianjia.com/ershoufang/101106365186.html,南北通透三居，全明格局，满五免个税，精装自住
万润风景 ,菜户营,2室1厅 ,90.52,平米, 东 西 , 简装 , 低楼层(共12层) , 2006年建 , 板楼,590,万,https://bj.lianjia.com/ershoufang/101106365169.html,东西通透两居室，满五年唯一，诚心出售，无遮挡
海子角南里 ,观音寺,2室1厅 ,77,平米, 东南 , 精装 , 低楼层(共6层) , 1995年建 , 板楼,238,万,https://bj.lianjia.com/ershoufang/101106365168.html,海子角南里    满五年唯一   精装修
望京新城 ,望京,2室1厅 ,85.11,平米, 东南 , 其他 , 中楼层(共31层) , 1997年建 , 塔楼,578,万,https://bj.lianjia.com/ershoufang/101106365159.html,望京新城 2室1厅 578万
金惠园三里南区 ,黄村北,2室1厅 ,70.26,平米, 南 北 , 简装 , 底层(共7层) , 1998年建 , 板楼,305,万,https://bj.lianjia.com/ershoufang/101106365145.html,金惠园三里南区 2室1厅 305万
格调 ,马连道,1室1厅 ,87.44,平米, 西 , 其他 , 高楼层(共23层) , 2007年建 , 板塔结合,750,万,https://bj.lianjia.com/ershoufang/101106365118.html,格调 1室1厅 750万
花园楼 ,清河,1室1厅 ,45.5,平米, 南 北 , 其他 , 顶层(共6层) , 1985年建 , 板楼,310,万,https://bj.lianjia.com/ershoufang/101106365116.html,花园楼南北通透一居室 高层采光好
芳清园 ,清河,2室1厅 ,110.3,平米, 南 北 , 精装 , 中楼层(共9层) , 2007年建 , 板楼,825,万,https://bj.lianjia.com/ershoufang/101106365111.html,芳清园 中间楼层 南北通透两居室
常楹公元 ,常营,3室1厅 ,127.65,平米, 南 北 , 精装 , 高楼层(共24层) , 2013年建 , 板楼,890,万,https://bj.lianjia.com/ershoufang/101106365104.html,改善家庭的选择    独立空间   品质居住
加州水郡三期 ,长阳,4室1厅 ,135.58,平米, 东 南 北 , 精装 , 中楼层(共11层) , 2009年建 , 板塔结合,450,万,https://bj.lianjia.com/ershoufang/101106365096.html,加州水郡三期 4室1厅 450万
南岗子 ,崇文门,2室1厅 ,53.19,平米, 南 北 , 其他 , 底层(共6层) , 1988年建 , 板楼,510,万,https://bj.lianjia.com/ershoufang/101106365056.html,南岗子 2室1厅 510万
云趣园二区 ,回龙观,6室2厅 ,258.97,平米, 南 北 , 精装 , 顶层(共6层) , 2000年建 , 板楼,710,万,https://bj.lianjia.com/ershoufang/101106365051.html,电梯复式 商品房满五年业主在北京只有一套住宅 精装修
富莱茵花园 ,永定门,1室1厅 ,49.28,平米, 南 , 其他 , 低楼层(共6层) , 1990年建 , 板楼,360,万,https://bj.lianjia.com/ershoufang/101106365036.html,东城区，三环里，低楼层朝南一居室
百合湾 ,武夷花园,2室1厅 ,83.23,平米, 南 , 简装 , 低楼层(共20层) , 2012年建 , 板塔结合,550,万,https://bj.lianjia.com/ershoufang/101106365026.html,百合湾 全南向两居 满两年 明厨明卫 绿城物业
光华里社区 ,CBD,4室1厅 ,117.29,平米, 南 北 , 其他 , 中楼层(共5层) , 1967年建 , 板楼,938,万,https://bj.lianjia.com/ershoufang/101106365023.html,光华里社区 4室1厅 938万
北京像素北区 ,常营,3房间2卫 ,59.92,平米, 西南 , 其他 , 中楼层(共14层) , 2011年建 , 板塔结合,249,万,https://bj.lianjia.com/ershoufang/101106365017.html,全款购买 5米48复式 草房站
马家堡西里 ,马家堡,2室1厅 ,67.59,平米, 南 北 , 简装 , 中楼层(共14层) , 1995年建 , 板塔结合,345,万,https://bj.lianjia.com/ershoufang/101106365009.html,马家堡西里 2室1厅 345万
双桥五号井 ,双桥,3室1厅 ,93.69,平米, 东 南 北 , 简装 , 中楼层(共6层) , 2004年建 , 板楼,390,万,https://bj.lianjia.com/ershoufang/101106365004.html,双桥五号井 东南向三居室 有钥匙
杨庄北街7号院 ,通州北苑,2室1厅 ,71.57,平米, 南 北 , 其他 , 中楼层(共6层) , 1995年建 , 板楼,319,万,https://bj.lianjia.com/ershoufang/101106365002.html,万达商圈 北苑地铁 南北通透两居 居住适宜
开阳里八区 ,北京南站,3室2厅 ,124.13,平米, 东南 , 精装 , 低楼层(共9层) , 2003年建 , 塔楼,780,万,https://bj.lianjia.com/ershoufang/101106364983.html,二环边 北京南站 开阳里 有电梯三居室 双卫 满五唯一
阳光丽景 ,马甸,2室2厅 ,106.27,平米, 南 北 , 精装 , 高楼层(共16层) , 2002年建 , 板塔结合,1720,万,https://bj.lianjia.com/ershoufang/101106364958.html,阳光丽景南北通透两居室 中间楼栋唯一的一套 优质房
育仁里2号院 ,科技园区,3室2厅 ,97.23,平米, 南 北 , 简装 , 中楼层(共6层) , 1996年建 , 板楼,520,万,https://bj.lianjia.com/ershoufang/101106364894.html,育仁里2号院 3室2厅 520万
花家地西里一区 ,望京,3室1厅 ,82.1,平米, 西北 , 其他 , 高楼层(共18层) , 1995年建 , 塔楼,500,万,https://bj.lianjia.com/ershoufang/101106364875.html,花家地西里一区 3室1厅 500万
剧场东街 ,城子,2室1厅 ,51.05,平米, 南 , 其他 , 中楼层(共5层) , 1979年建 , 板楼,175,万,https://bj.lianjia.com/ershoufang/101106364866.html,剧场东街 2室1厅 175万
芍药居北里 ,芍药居,1室1厅 ,55.04,平米, 东北 , 其他 , 高楼层(共24层) , 1997年建 , 塔楼,420,万,https://bj.lianjia.com/ershoufang/101106364850.html,芍药居北里，精装修大一居 随时签约
梵谷水郡 ,酒仙桥,1室0厅 ,40.73,平米, 西南 , 精装 , 中楼层(共24层) , 2008年建 , 塔楼,285,万,https://bj.lianjia.com/ershoufang/101106364843.html,梵谷水郡三期  精装修开间 满五年唯一住房
华阳家园 ,甜水园,1室1厅 ,78.11,平米, 西南 , 简装 , 低楼层(共22层) , 2003年建 , 塔楼,539.5,万,https://bj.lianjia.com/ershoufang/101106364789.html,华阳家园 朝阳公园南门 正规一居室 2003年商品房小区
中绦胡同甲2号院 ,安定门,2室1厅 ,61.56,平米, 南 北 , 其他 , 中楼层(共6层) , 1985年建 , 板楼,680,万,https://bj.lianjia.com/ershoufang/101106364781.html,安交 教委家属院  有小区 明厨明卫 中间楼层
芳源里 ,旧宫,3室2厅 ,119.57,平米, 南 北 , 其他 , 中楼层(共11层) , 2001年建 , 板楼,520,万,https://bj.lianjia.com/ershoufang/101106364767.html,芳源里 3室2厅 520万
龙博苑二区 ,回龙观,1室1厅 ,59.24,平米, 南 , 精装 , 6层 , 2004年建 , 板楼,335,万,https://bj.lianjia.com/ershoufang/101106364751.html,二次精装修 小区中间 适合首套刚需置业
永兴里 ,丰台其它,2室1厅 ,50.5,平米, 西北 , 其他 , 低楼层(共6层) , 1990年建 , 板楼,200,万,https://bj.lianjia.com/ershoufang/101106364727.html,永兴里 2室1厅 200万
玉桥南里 ,玉桥,2室1厅 ,68.42,平米, 南 北 , 其他 , 高楼层(共6层) , 1995年建 , 板楼,307,万,https://bj.lianjia.com/ershoufang/101106364713.html,玉桥南里 2室1厅 307万
农光里 ,劲松,2室1厅 ,84.19,平米, 西南 , 其他 , 高楼层(共23层) , 1996年建 , 塔楼,630,万,https://bj.lianjia.com/ershoufang/101106364694.html,农光里 2室1厅 630万
强佑清河新城 ,清河,3室2厅 ,138.61,平米, 南 北 , 精装 , 中楼层(共27层) , 2009年建 , 板塔结合,940,万,https://bj.lianjia.com/ershoufang/101106364682.html,正对小区花园，满五年南北通透三居
上庄馨瑞嘉园 ,海淀北部新区,2室1厅 ,87.75,平米, 北 南 , 其他 , 高楼层(共13层) , 2013年建 , 板楼,400,万,https://bj.lianjia.com/ershoufang/101106364681.html,上庄馨瑞嘉园 2室1厅 400万
远洋一方溪语苑 ,双桥,2室1厅 ,88.41,平米, 南 , 其他 , 低楼层(共11层) , 2012年建 , 板塔结合,515,万,https://bj.lianjia.com/ershoufang/101106364607.html,远洋一方溪语苑 2室1厅 515万
西上园三区 ,武夷花园,3室2厅 ,102.62,平米, 南 北 , 精装 , 中楼层(共6层) , 2000年建 , 板楼,538,万,https://bj.lianjia.com/ershoufang/101106364606.html,西上园正规三居室 中间楼层 南北通透 采光充足
朝阳庵 ,车公庄,2室1厅 ,38.1,平米, 南 北 , 精装 , 顶层(共4层) , 1958年建 , 板楼,455,万,https://bj.lianjia.com/ershoufang/101106364601.html,南北通透   精装修  随时可看  随时签约
阳光城君山墅 ,密云其它,5室2厅 ,321.87,平米, 南 北 西 , 其他 , 底层(共2层) ,  , 暂无数据,995,万,https://bj.lianjia.com/ershoufang/101106364598.html,阳光城君山墅 5室2厅 995万
8哩岛 ,北关,4室2厅 ,166.25,平米, 南 北 , 精装 , 中楼层(共9层) , 2010年建 , 板楼,680,万,https://bj.lianjia.com/ershoufang/101106364507.html,通州新城+温榆河畔+南北通透+四居两卫+洋房
雅丽世居 ,果园,2室1厅 ,93.35,平米, 南 北 , 精装 , 低楼层(共18层) , 2005年建 , 板楼,415,万,https://bj.lianjia.com/ershoufang/101106364489.html,万达商圈 电梯两居室 南北通透
枫丹壹号二期 ,亦庄开发区其它,4室2厅 ,112.15,平米, 南 北 , 其他 , 高楼层(共27层) , 2014年建 , 板楼,738,万,https://bj.lianjia.com/ershoufang/101106364475.html,枫丹壹号二期 4室2厅 738万
交大东路38号院 ,西直门,2室1厅 ,53.57,平米, 东 西 , 简装 , 中楼层(共6层) , 1984年建 , 板楼,450,万,https://bj.lianjia.com/ershoufang/101106364467.html,交大商圈 低总价 满五年唯一 八零筑一格局两居室
怡然世家 ,九棵树(家乐福),1室1厅 ,54.58,平米, 西 , 其他 , 高楼层(共28层) ,  , 塔楼,228,万,https://bj.lianjia.com/ershoufang/101106364373.html,西向一居室，低总价，业主急售！
纳帕尔湾 ,马坡,5室2厅 ,403,平米, 南 北 , 其他 , 底层(共3层) , 2008年建 , 暂无数据,2000,万,https://bj.lianjia.com/ershoufang/101106364366.html,纳帕尔湾 5室2厅 2000万
西三环北路105号院 ,定慧寺,4室1厅 ,123.4,平米, 东北 , 精装 , 低楼层(共18层) , 1996年建 , 塔楼,1300,万,https://bj.lianjia.com/ershoufang/101106364325.html,花园桥地铁旁，精装四室两卫，校园环境，诚意出售
柏林爱乐三期 ,常营,1室1厅 ,71.46,平米, 东 西 , 简装 , 11层 , 2007年建 , 板楼,388,万,https://bj.lianjia.com/ershoufang/101106364319.html,满五年唯一，视野开阔，楼层佳，无户口，无遮挡
公园1872 ,石佛营,1室1厅 ,93.82,平米, 西北 , 精装 , 低楼层(共21层) , 2008年建 , 塔楼,520,万,https://bj.lianjia.com/ershoufang/101106364285.html,全景落地窗，正规一居室，招商物业管理好
三义东里 ,马连道,2室1厅 ,56.79,平米, 东南 南 , 精装 , 中楼层(共16层) , 1988年建 , 塔楼,535,万,https://bj.lianjia.com/ershoufang/101106364236.html,7号线 达官营 东南 精装两居 公房  电梯房 可贷25年
红狮家园 ,宋家庄,2室1厅 ,89.99,平米, 东 西 , 简装 , 低楼层(共29层) , 2010年建 , 板楼,490,万,https://bj.lianjia.com/ershoufang/101106364231.html,红狮家园 2室1厅 490万
红狮家园 ,宋家庄,2室2厅 ,89.69,平米, 东 西 , 简装 , 中楼层(共29层) , 2010年建 , 塔楼,530,万,https://bj.lianjia.com/ershoufang/101106364225.html,红狮家园 2室2厅 530万
团结湖北里 ,团结湖,1室1厅 ,40.22,平米, 南 , 简装 , 高楼层(共12层) , 1981年建 , 塔楼,328,万,https://bj.lianjia.com/ershoufang/101106364195.html,团结湖北里高层南向一居室，看团结湖公园，诚意出售
都会华庭 ,十里堡,2室1厅 ,93.07,平米, 西 , 精装 , 中楼层(共21层) , 2007年建 , 塔楼,580,万,https://bj.lianjia.com/ershoufang/101106364141.html,都会华庭 2室1厅 580万
中信新城东区 ,亦庄开发区其它,3室1厅 ,87.29,平米, 南 北 , 简装 , 低楼层(共12层) , 2013年建 , 板楼,495,万,https://bj.lianjia.com/ershoufang/101106364136.html,中信明卫三居室 南北通透 看房随时 功能性强
和平里七区 ,和平里,2室1厅 ,55.71,平米, 南 北 , 其他 , 中楼层(共6层) , 1989年建 , 板楼,635,万,https://bj.lianjia.com/ershoufang/101106364098.html,东城区和平里七区南北向两居看房方便
京投万科金域公园 ,长阳,2室1厅 ,88.45,平米, 南 , 其他 , 中楼层(共10层) , 2015年建 , 板楼,390,万,https://bj.lianjia.com/ershoufang/101106364004.html,京投万科金域公园 2室1厅 390万
梅园 ,马连洼,2室1厅 ,63.8,平米, 南 北 , 简装 , 顶层(共6层) , 1995年建 , 板楼,428,万,https://bj.lianjia.com/ershoufang/101106363984.html,梅园 2室1厅 428万
DBC加州小镇C区 ,临河里,2室1厅 ,90.15,平米, 南 , 简装 , 低楼层(共15层) , 2010年建 , 板楼,409,万,https://bj.lianjia.com/ershoufang/101106363971.html,加州南向正规两居室满五年唯一住房，带电梯诚心出售
首开常青藤三期 ,东坝,3室2厅 ,153.25,平米, 南 北 , 精装 , 底层(共6层) , 2012年建 , 板楼,998,万,https://bj.lianjia.com/ershoufang/101106363952.html,首开常青藤三期 3室2厅 998万
胜古南里 ,惠新西街,3室1厅 ,77.53,平米, 西南 , 精装 , 高楼层(共16层) , 1987年建 , 塔楼,570,万,https://bj.lianjia.com/ershoufang/101106363880.html,电梯三居室，方正户型，满五唯一，中石化管理好
兴海家园星苑 ,西红门,2室1厅 ,83.02,平米, 南 北 , 简装 , 底层(共5层) , 2004年建 , 板楼,386,万,https://bj.lianjia.com/ershoufang/101106363844.html,兴海家园 南北通透两居 不临街 不把边 前后无遮挡
金鑫苑 ,窦店,2室1厅 ,86.84,平米, 南 北 , 简装 , 高楼层(共6层) , 2006年建 , 板楼,170,万,https://bj.lianjia.com/ershoufang/101106363772.html,金鑫苑 2室1厅 170万
富海中心 ,白石桥,2室1厅 ,125.97,平米, 西南 , 其他 , 底层(共21层) , 2004年建 , 塔楼,928,万,https://bj.lianjia.com/ershoufang/101106363686.html,此房满五年唯一，年代新，交通便利，看房方便
城乡世纪广场莫尔空间 ,通州其它,3房间1卫 ,64.79,平米, 南 , 其他 , 中楼层(共10层) , 2015年建 , 塔楼,170,万,https://bj.lianjia.com/ershoufang/101106363682.html,城乡世纪广场莫尔空间 3房间1卫 170万
天通苑东三区 ,天通苑,2室1厅 ,117.18,平米, 南 北 , 精装 , 低楼层(共7层) , 2002年建 , 板楼,480,万,https://bj.lianjia.com/ershoufang/101106363604.html,商满五唯一低楼层两居室诚心出售
呼家楼北街 ,红庙,2室1厅 ,69.22,平米, 南 , 精装 , 中楼层(共16层) , 1988年建 , 板塔结合,440,万,https://bj.lianjia.com/ershoufang/101106363583.html,东三环边 呼家楼北街 中高层带电梯 双南卧室 近地铁
天通西苑二区 ,天通苑,1室1厅 ,61.77,平米, 南 , 简装 , 高楼层(共10层) , 2003年建 , 板楼,305,万,https://bj.lianjia.com/ershoufang/101106363518.html,西二区 正规南向大1居，首付125万，高楼层采光好
天恒乐活城 ,阎村,2室1厅 ,83.42,平米, 南 北 , 精装 , 底层(共4层) , 2009年建 , 板楼,309,万,https://bj.lianjia.com/ershoufang/101106363511.html,天恒乐活城 2室1厅 309万
珠江帝景伯爵山 ,大望路,2室1厅 ,90.25,平米, 南 , 其他 , 低楼层(共16层) , 2008年建 , 板楼,840,万,https://bj.lianjia.com/ershoufang/101106363486.html,珠江帝景新区 板楼两居室 南向满五年
晨光小区 ,马家堡,3室1厅 ,68.43,平米, 南 北 , 其他 , 顶层(共6层) , 1996年建 , 板楼,395,万,https://bj.lianjia.com/ershoufang/101106363425.html,角门西双地铁低密度南北通透三居室
苹果派 ,常营,2室1厅 ,96.26,平米, 南 北 , 其他 , 底层(共10层) , 2007年建 , 板楼,520,万,https://bj.lianjia.com/ershoufang/101106363424.html,苹果派两居  南北通透  满五唯一  两室双卫
金色漫香林二期 ,亦庄,4室2厅 ,181,平米, 南 北 , 其他 , 中楼层(共6层) , 2010年建 , 板楼,800,万,https://bj.lianjia.com/ershoufang/101106363419.html,金色漫香林二期 4室2厅 800万
牛街东里 ,牛街,2室1厅 ,73.77,平米, 西南 , 其他 , 低楼层(共20层) , 1999年建 , 塔楼,630,万,https://bj.lianjia.com/ershoufang/101106363416.html,牛街东里 2室1厅 630万
西现代城 ,杨庄,2室1厅 ,86.96,平米, 西北 , 简装 , 高楼层(共18层) , 2005年建 , 板塔结合,399,万,https://bj.lianjia.com/ershoufang/101106363410.html,西现代城 04年正规两居室 房本满五年 业主诚意出售
保利春天里 ,天宫院,4室2厅 ,95.59,平米, 南 北 , 精装 , 中楼层(共27层) , 2014年建 , 板楼,445,万,https://bj.lianjia.com/ershoufang/101106363331.html,南北通透 采光充足 人车分流 封闭式管理
沿海赛洛城五期 ,百子湾,3室1厅 ,141.1,平米, 南 北 , 其他 , 低楼层(共11层) , 2008年建 , 板塔结合,950,万,https://bj.lianjia.com/ershoufang/101106363317.html,沿海赛洛城五期 3室1厅 950万
瑞丽江畔 ,马家堡,2室1厅 ,69.92,平米, 北 , 精装 , 中楼层(共21层) , 2005年建 , 塔楼,410,万,https://bj.lianjia.com/ershoufang/101106363264.html,瑞丽江畔双地铁角门西站，满五年唯一，诚心出售
茂华景公阁 ,杨庄,1室1厅 ,60.23,平米, 南 , 其他 , 顶层(共15层) , 2008年建 , 板楼,408,万,https://bj.lianjia.com/ershoufang/101106363231.html,精装修 纯南向 满五唯一 视野采光好
首开康乃馨城 ,枣园,1室1厅 ,62.17,平米, 南 , 其他 , 中楼层(共18层) , 2012年建 , 板楼,225,万,https://bj.lianjia.com/ershoufang/101106363211.html,2012年纯南电梯房，自住装修
京投银泰万科西华府 ,科技园区,2室1厅 ,88.82,平米, 南 北 , 精装 , 中楼层(共21层) , 2014年建 , 板楼,608,万,https://bj.lianjia.com/ershoufang/101106363192.html,房子楼层，位置，保持度各方面都很好
邑上公馆 ,长阳,2室1厅 ,72.94,平米, 南 北 , 其他 , 高楼层(共7层) , 2014年建 , 板楼,290,万,https://bj.lianjia.com/ershoufang/101106363109.html,邑上公馆 2室1厅 290万
新城阳光 ,梨园,2室1厅 ,91.6,平米, 南 北 , 简装 , 底层(共15层) , 2012年建 , 板楼,390,万,https://bj.lianjia.com/ershoufang/101106363058.html,新城阳光 2室1厅 390万
望京西园三区 ,望京,3室1厅 ,173.45,平米, 南 , 精装 , 高楼层(共24层) , 2000年建 , 塔楼,835,万,https://bj.lianjia.com/ershoufang/101106363048.html,满五唯一高楼层 视野好无遮挡 地铁14/15望京站
永定门东街中里 ,天坛,2室1厅 ,49.89,平米, 南 北 , 精装 , 中楼层(共6层) , 1976年建 , 板楼,420,万,https://bj.lianjia.com/ershoufang/101106363022.html,东城区二环里南北通透，不临街优质两居室
久敬佳园一区 ,和义,2室2厅 ,98.29,平米, 西南 , 其他 , 顶层(共10层) , 2007年建 , 板楼,449,万,https://bj.lianjia.com/ershoufang/101106362946.html,高楼层 电梯房 满五年唯一 层高3.5米
北京像素北区 ,常营,3房间2卫 ,58.95,平米, 南 北 , 其他 , 低楼层(共14层) , 2011年建 , 板塔结合,226,万,https://bj.lianjia.com/ershoufang/101106362923.html,北京像素北区，层高5.48，需要全款
厂洼西街6号院 ,厂洼,2室1厅 ,83.29,平米, 西 南 , 其他 , 高楼层(共16层) , 2005年建 , 板塔结合,935,万,https://bj.lianjia.com/ershoufang/101106362917.html,厂洼西街6号院 2室1厅 935万
望京西园三区 ,望京,3室1厅 ,130.17,平米, 南 , 精装 , 中楼层(共24层) , 2001年建 , 板塔结合,860,万,https://bj.lianjia.com/ershoufang/101106362823.html,绿荫芳邻 精装全南两居 集中供热24小时热水
中天国际 ,南沙滩,1室0厅 ,61.43,平米, 南 , 精装 , 中楼层(共16层) , 2007年建 , 板塔结合,396,万,https://bj.lianjia.com/ershoufang/101106362782.html,中天国际南向开间，精装修，购买后可拎包入住
花家地西里二区 ,望京,2室1厅 ,90.23,平米, 东南 , 其他 , 中楼层(共25层) , 1999年建 , 塔楼,610,万,https://bj.lianjia.com/ershoufang/101106362776.html,满五年唯一不临街两居室，随时看房，随时签约
柏林爱乐三期 ,常营,1室1厅 ,67.4,平米, 东 , 其他 , 顶层(共11层) , 2007年建 , 板楼,410,万,https://bj.lianjia.com/ershoufang/101106362768.html,满五年唯一，视野开阔，楼层佳，无遮挡
展春园 ,五道口,3室1厅 ,68.5,平米, 南 北 , 简装 , 高楼层(共6层) , 1985年建 , 板楼,570,万,https://bj.lianjia.com/ershoufang/101106362720.html,展春园南北通透三居室房主诚意出售
红山世家 ,广安门,2室1厅 ,93.09,平米, 南 北 , 精装 , 低楼层(共28层) , 2011年建 , 板塔结合,1090,万,https://bj.lianjia.com/ershoufang/101106362713.html,此房满五唯一，南北向两居室，低楼层，可观小区景观。
郁花园三里 ,郁花园,1室0厅 ,47.67,平米, 南 , 简装 , 高楼层(共16层) , 2009年建 , 板楼,265,万,https://bj.lianjia.com/ershoufang/101106362698.html,电梯房，中间位置，视野无遮挡，南向，距离地铁三百米
郁花园三里 ,郁花园,1室0厅 ,47.67,平米, 南 , 简装 , 顶层(共16层) , 2009年建 , 板楼,260,万,https://bj.lianjia.com/ershoufang/101106362682.html,电梯房，视野无遮挡，南向，距离地铁三百米
新海北里 ,马驹桥,1室1厅 ,66.77,平米, 南 北 , 简装 , 中楼层(共6层) , 2006年建 , 板楼,228,万,https://bj.lianjia.com/ershoufang/101106362660.html,新海北里 1室1厅 228万
裕龙三区 ,顺义城,2室1厅 ,96.57,平米, 南 北 , 其他 , 顶层(共22层) , 2009年建 , 板塔结合,465,万,https://bj.lianjia.com/ershoufang/101106362654.html,裕龙三区 2室1厅 465万
五里店 ,五里店,2室1厅 ,58.04,平米, 南 北 , 其他 , 顶层(共6层) , 1989年建 , 板楼,240,万,https://bj.lianjia.com/ershoufang/101106362638.html,五里店 2室1厅 240万
海悦公馆 ,观音寺,2室1厅 ,81.65,平米, 东 , 其他 , 顶层(共24层) , 2014年建 , 板楼,310,万,https://bj.lianjia.com/ershoufang/101106362607.html,海悦公馆 2室1厅 310万
嘉和人家 ,宋家庄,3室1厅 ,125.43,平米, 东 南 北 , 其他 , 高楼层(共21层) , 2003年建 , 塔楼,674,万,https://bj.lianjia.com/ershoufang/101106362603.html,成寿寺地铁旁满5年商品房 全明户型高层采光房
乐成国际 ,双井,3室1厅 ,145.8,平米, 南 北 , 其他 , 中楼层(共16层) , 2006年建 , 板楼,1450,万,https://bj.lianjia.com/ershoufang/101106362557.html,乐成国际 3室1厅 1450万
御园C区 ,天宫院南,1室1厅 ,59.16,平米, 南 , 精装 , 低楼层(共15层) ,  , 板楼,178,万,https://bj.lianjia.com/ershoufang/101106362544.html,御园C区 南向 一居室 花园洋房
清源西里 ,枣园,1室1厅 ,40.07,平米, 西南 , 其他 , 中楼层(共6层) , 1989年建 , 板楼,200,万,https://bj.lianjia.com/ershoufang/101106362538.html,清源西里 西南一居 婚房 满五年公房 拎包入住
双裕花园东区 ,后沙峪,4室2厅 ,195.85,平米, 南 北 , 简装 , 高楼层(共6层) , 1998年建 , 板楼,450,万,https://bj.lianjia.com/ershoufang/101106362502.html,双裕花园东区5+6的大复式 适合多口之家居住
新城嘉园 ,大兴其它,1室1厅 ,49.39,平米, 南 , 简装 , 顶层(共2层) , 2014年建 , 暂无数据,135,万,https://bj.lianjia.com/ershoufang/101106362467.html,2014年电梯房，满二年，楼龄新
东直门外小街10号院 ,东直门,2室1厅 ,57.49,平米, 东 南 西 , 精装 , 顶层(共6层) , 1986年建 , 板楼,499,万,https://bj.lianjia.com/ershoufang/101106362456.html,东直门 东西南向两居 满五年唯一住房 高层光线好
方恒东景 ,临河里,2室1厅 ,73.27,平米, 南 , 精装 , 中楼层(共26层) , 2012年建 , 板楼,300,万,https://bj.lianjia.com/ershoufang/101106362445.html,地铁边低总价南向两居高楼层精装修
向阳东里 ,城子,2室1厅 ,65.47,平米, 南 北 , 精装 , 高楼层(共6层) , 1997年建 , 板楼,248,万,https://bj.lianjia.com/ershoufang/101106362389.html,南北通透 精装修 交通便利 设施齐全
青岛嘉园 ,黄村北,6室3厅 ,242.51,平米, 南 北 , 其他 , 高楼层(共6层) , 2002年建 , 板楼,918,万,https://bj.lianjia.com/ershoufang/101106362297.html,青岛嘉园 6室3厅 918万
